,radiation_surface
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.660473352
488,237.93814598399996
489,761.6096444879998
490,1266.5677313519998
491,1735.1893001520002
492,1804.801094712
493,1187.0069016959999
494,693.5075033040001
495,291.48890601600004
496,9.466784712
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,1.4677185600000002
512,295.59851798399995
513,1372.94587584
514,2320.651750032
515,2200.7496273839997
516,1095.767225784
517,498.89850595200005
518,255.791893896
519,137.3365224
520,6.206352768
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,2.547540072
536,409.116064896
537,1304.0155220400002
538,2607.2028314639997
539,3169.831774032
540,3229.9663001759995
541,2745.0111205440003
542,1840.477139424
543,758.737109592
544,27.079407432
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,1.635457824
560,180.44551324800003
561,647.1275968079999
562,959.793584904
563,1029.740857992
564,848.173588416
565,779.5367783280001
566,572.032825056
567,216.603808344
568,9.970002504
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,2.1701267279999996
584,206.86444732799998
585,684.984251952
586,1210.584751992
587,1616.1049064160002
588,1898.4100877279998
589,1564.944430896
590,886.963293216
591,341.517141504
592,15.379593768
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,3.1660786080000003
608,218.5852284
609,633.5931349440001
610,859.1080916880001
611,997.702658568
612,1111.32504252
613,927.3150699119999
614,558.1628846640001
615,333.85355388
616,7.936163927999999
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,11.42723736
632,605.004074136
633,1426.895016624
634,1877.5160656560001
635,2165.04213156
636,1765.644460272
637,1350.5631678
638,1071.958734
639,589.1841648000001
640,35.235729144000004
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,12.622379616
656,433.71083447999996
657,1951.2374721839997
658,2926.5364553040004
659,3478.220410896
660,3499.1668514880002
661,3047.811943176
662,2162.746200384
663,978.9368284080001
664,67.93440192
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,6.688603152
680,156.689439984
681,384.353556048
682,659.8128786479999
683,1011.7613056319999
684,1199.4510583439999
685,1019.06844732
686,544.617939096
687,152.12902874399998
688,6.97166316
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,13.544945567999997
704,380.39071593599994
705,1087.621387776
