,0
137,86140.56509
138,100852.7274
139,143790.7807
140,184231.9146
141,138540.6115
142,163428.5484
143,153215.4591
144,156056.6847
145,100359.324
146,159257.4566
147,151449.5701
148,96949.14203
149,150125.9616
150,151686.2966
151,136879.0697
152,121349.1712
153,156030.7769
154,127504.2904
155,135611.9642
156,172668.4546
157,69801.88967
158,122469.7427
159,129327.5599
160,49889.50351
161,51975.82295
162,60604.72451
163,84261.43904
164,148032.1377
165,136772.6905
166,163187.6656
167,182209.7875
168,93027.98462
169,92867.55002
170,174443.6722
171,191019.0972
172,188317.0857
173,101030.5493
174,68269.47138
175,102286.8252
176,155616.8289
177,190432.9382
178,182447.8071
179,185318.1502
180,188902.6443
181,189512.7253
182,193640.4295
183,192579.6169
184,176049.8424
185,178723.4522
186,124723.6087
187,119408.947
188,136292.8645
189,144621.286
190,124028.4152
191,165711.5088
192,154342.6345
193,160757.1091
194,141242.9462
195,188582.6756
196,178173.0609
197,97960.88677
198,139117.0723
199,82749.75625
200,155100.7966
201,146825.5531
202,170941.1965
203,176152.5732
204,158957.4153
205,157628.4959
206,103196.4857
207,71931.29647
208,133053.2771
209,152749.3028
210,98500.17147
211,152568.0404
212,156621.3924
213,161685.1037
214,86699.43075
215,80585.43623
216,153662.5886
217,122373.385
218,150145.3578
219,137824.1283
220,131858.3534
221,136522.8254
222,150656.2409
223,126089.5195
224,148813.1595
225,72948.88317
226,153002.9779
227,49529.6802
228,147137.4631
229,143114.637
230,130379.5749
231,150286.8349
232,125244.0975
233,133180.9459
234,143935.121
235,141379.9668
236,130472.5152
237,138511.0091
238,105839.8466
239,108235.9055
240,126888.9678
241,122058.8195
242,94678.28123
243,131695.8406
244,108016.8204
245,105929.1155
246,127258.9972
247,128264.1842
248,43117.72251
249,120769.6162
250,116748.0371
251,46493.29144
252,103962.9142
253,91999.4298
254,112399.1465
255,118403.5753
256,120896.246
257,102557.8876
258,64565.73657
259,114685.1086
260,111966.518
261,108825.5973
262,109954.5046
263,106554.4595
264,46371.9495
265,72356.69754
266,59512.55465
267,78103.31807
268,87617.17301
269,57222.78253
270,82622.54926
271,76254.21001
272,53779.16513
273,58358.96337
274,92104.81603
275,62361.70044
276,59185.88967
277,55804.98677
278,69759.03322
279,39410.89353
280,70183.34903
281,47229.67887
282,54239.10997
283,25372.42727
284,36696.82869
285,28426.91918
286,17556.92082
287,50767.48348
288,42032.24897
289,50025.9699
290,39898.50111
291,54896.80409
292,35724.26897
293,42022.08904
294,57431.15355
295,36898.94212
296,30846.71538
297,32069.74057
298,14480.35414
299,59391.62834
300,34619.60702
301,40545.04239
302,44219.17485
303,36038.97294
304,21626.15927
305,17213.19177
306,24397.90483
307,26033.19246
308,20346.81572
309,14422.11924
310,32917.21764
311,27181.88849
312,11122.63437
313,33948.75117
314,24781.18836
315,18958.48377
316,27075.02446
317,12129.18369
318,16176.09337
319,31879.08017
320,17334.71844
321,30424.47774
322,14937.71282
323,22752.1571
324,7393.407354
325,15522.11687
326,5272.036142
327,13442.65539
328,8038.124464
329,14748.55332
330,15694.83575
331,14165.71944
332,18203.66992
333,20171.39521
334,23479.79312
335,23027.5375
336,21432.70489
337,13094.70072
338,11017.8485
339,15389.99154
340,22695.03056
341,18564.23214
342,26089.303
343,3533.763729
344,12630.62263
345,4308.412545
346,21253.2435
347,20058.82776
348,14641.48146
349,9644.710272
350,7279.777724
351,11866.45702
352,6209.959722
353,10395.11379
354,16201.90884
355,15398.92766
356,17892.70665
357,17411.5414
358,12796.73756
359,6438.812244
360,7919.761228
361,10620.17943
362,20535.32868
363,19621.92749
364,7449.610263
