,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,39.92392404
387,885.3921014
388,2308.845092
389,3474.928472
390,4223.600184
391,4308.897451
392,3643.46793
393,2469.164239
394,1146.687142
395,107.1873079
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,70.98099624
411,1247.455218
412,3479.592806
413,5500.311395
414,6752.615673
415,7109.875912
416,6371.82595
417,4455.131234
418,1991.139326
419,207.6782954
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,156.1166284
435,2296.283719
436,4983.701822
437,6919.838957
438,6706.364881
439,6371.779768
440,5617.658637
441,4251.72473
442,2254.143082
443,261.1103141
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,9.9290268
459,135.0116737
460,329.2742376
461,858.491366
462,1749.563794
463,3538.451153
464,4702.664182
465,3615.505019
466,1580.81652
467,263.3732086
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,34.65923076
483,409.0297226
484,996.7588369
485,1446.890112
486,1735.039706
487,1801.725821
488,1766.581685
489,1090.645867
490,431.889575
491,51.35385024
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,92.940309
507,828.7735579
508,1766.581685
509,2693.236974
510,3607.00762
511,4210.346088
512,4825.137573
513,3367.394803
514,1288.071865
515,165.6992938
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,109.1500225
531,1275.510492
532,2963.976135
533,4629.628108
534,5291.386199
535,5742.672012
536,6648.245438
537,5195.72118
538,2765.626507
539,395.336902
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,30.73380156
555,203.0601434
556,503.1014789
557,963.9237762
558,1203.005505
559,1444.003767
560,1281.375545
561,1035.43586
562,1216.536691
563,420.4365581
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,278.336021
579,2481.910339
580,5178.241475
581,6845.602163
582,7602.147824
583,6818.355067
584,4914.637358
585,3046.294695
586,1538.491157
587,263.6502977
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,85.62053808
603,572.1890328
604,1316.496591
605,2390.609474
606,3777.348156
607,5695.474499
608,5021.986302
609,4920.132959
610,3067.838374
611,561.3825571
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,248.1563977
627,1987.444804
628,5636.731605
629,7763.66769
630,9165.253731
631,9167.747534
632,8159.83586
633,6285.974504
634,3431.171482
635,698.7263976
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,88.7839722
651,557.8496708
652,1113.505719
653,1857.88255
654,2934.189055
655,4529.344937
656,5344.748945
657,4064.066123
658,1402.278764
659,298.0324393
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,179.2535699
675,1527.407592
676,3901.73808
677,6261.521389
678,7714.13801
679,8161.221305
680,7676.846433
681,6048.232039
682,3516.815111
683,845.3989051
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,223.7725552
699,1558.880298
700,3734.907339
701,8322.99517
702,9768.407473
703,9820.708045
704,8770.332463
705,6724.098584
706,3923.812847
707,991.6326882
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,197.0796366
723,1225.403542
724,3827.524378
725,7607.781969
726,9818.722239
727,9869.637365
728,8838.103844
729,6800.759907
730,3978.029951
731,1052.222842
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,238.8739122
747,1281.883541
748,3353.147804
749,5211.422897
750,6184.07498
751,5844.409901
752,4888.614072
753,2916.062808
754,1263.434024
755,336.9634607
756,0.04618152
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,349.5248341
771,2416.794395
772,4902.814889
