,Output
879,1288.071865
880,165.6992938
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,109.1500225
896,1275.510492
897,2963.976135
898,4629.628108
899,5291.386199
900,5742.672012
901,6648.245438
902,5195.72118
903,2765.626507
904,395.336902
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,30.73380156
920,203.0601434
921,503.1014789
922,963.9237762
923,1203.005505
924,1444.003767
925,1281.375545
926,1035.43586
927,1216.536691
928,420.4365581
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,278.336021
944,2481.910339
945,5178.241475
946,6845.602163
947,7602.147824
948,6818.355067
949,4914.637358
950,3046.294695
951,1538.491157
952,263.6502977
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,85.62053808
968,572.1890328
969,1316.496591
970,2390.609474
971,3777.348156
972,5695.474499
973,5021.986302
974,4920.132959
975,3067.838374
976,561.3825571
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,248.1563977
992,1987.444804
993,5636.731605
994,7763.66769
995,9165.253731
996,9167.747534
997,8159.83586
998,6285.974504
999,3431.171482
1000,698.7263976
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,88.7839722
1016,557.8496708
1017,1113.505719
1018,1857.88255
1019,2934.189055
1020,4529.344937
1021,5344.748945
1022,4064.066123
1023,1402.278764
1024,298.0324393
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,179.2535699
1040,1527.407592
1041,3901.73808
1042,6261.521389
1043,7714.13801
1044,8161.221305
1045,7676.846433
1046,6048.232039
1047,3516.815111
1048,845.3989051
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,223.7725552
1064,1558.880298
1065,3734.907339
1066,8322.99517
1067,9768.407473
1068,9820.708045
1069,8770.332463
1070,6724.098584
1071,3923.812847
1072,991.6326882
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,197.0796366
1088,1225.403542
1089,3827.524378
1090,7607.781969
1091,9818.722239
1092,9869.637365
1093,8838.103844
1094,6800.759907
1095,3978.029951
1096,1052.222842
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,238.8739122
1112,1281.883541
1113,3353.147804
1114,5211.422897
1115,6184.07498
1116,5844.409901
1117,4888.614072
1118,2916.062808
1119,1263.434024
1120,336.9634607
1121,0.04618152
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,349.5248341
1136,2416.794395
1137,4902.814889
1138,6220.304383
1139,7091.033851
1140,7862.149782
1141,7566.703507
1142,5817.139713
1143,2362.762017
1144,715.3055633
1145,0.55417824
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,228.5754332
1160,1148.76531
1161,2215.212061
1162,3077.905945
1163,3225.640627
1164,2930.633078
1165,2565.19871
1166,1960.428615
1167,1222.240108
1168,472.206042
1169,1.33926408
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,338.9954476
1184,1544.148393
1185,2757.614013
1186,5335.558822
1187,7714.900005
1188,7999.539804
1189,6176.547392
1190,4738.45486
1191,2387.884764
1192,726.3198558
1193,3.55597704
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,693.7157027
1208,2929.871083
1209,5912.75855
1210,8158.542777
1211,9704.376796
1212,9888.202336
1213,8648.828884
1214,5810.789754
1215,3058.348071
1216,807.9687832
1217,7.78158612
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,602.091567
1232,2088.397607
1233,4564.304348
1234,8976.740767
1235,10369.0905
1236,10449.83889
1237,9454.165321
1238,7452.773698
1239,4666.296235
1240,1588.805923
1241,16.20971352
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0.09236304
1255,552.4695238
1256,2038.891017
1257,4470.417318
1258,7334.387371
1259,9512.030765
1260,10572.40465
1261,9649.559332
1262,7571.783475
1263,4769.973747
1264,1666.945055
1265,24.7071132
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0.36945216
1279,437.8931726
1280,1575.94437
1281,2881.865393
1282,4842.617278
1283,10631.56317
1284,10660.88844
1285,9643.486462
1286,7617.387726
1287,4802.416265
1288,1708.369879
1289,32.71960692
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,1.2699918
1303,503.0783881
1304,1870.721012
1305,4243.22733
1306,9326.173238
1307,11155.83888
1308,11258.82367
1309,10238.83553
1310,8152.377544
1311,5181.220183
1312,1946.943611
1313,50.84585352
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,7.64304156
1327,1486.837127
1328,4805.949151
1329,7877.228048
1330,10157.57914
1331,11400.41621
1332,11478.78625
1333,10401.16357
1334,8280.023265
1335,5362.136287
1336,2092.623216
1337,68.97210012
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,13.09246092
1351,1645.793919
1352,4944.678437
1353,7919.160868
1354,10208.30954
1355,11467.05614
1356,11514.94638
1357,10467.36478
1358,8377.835725
1359,5402.175665
1360,2146.147597
1361,85.59744732
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,6.48850356
1375,438.147171
1376,1543.294035
1377,3644.160652
1378,7895.077205
1379,11481.09532
1380,11574.28963
1381,10529.75601
1382,8430.182478
1383,5531.022106
1384,2246.338405
1385,105.6171362
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,7.11195408
1399,422.468545
1400,1057.372082
1401,1567.216063
1402,2334.152565
1403,3423.597713
1404,3832.281074
1405,4602.842826
1406,5088.187511
1407,3634.162353
1408,1655.307312
1409,76.776777
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,17.52588684
1423,835.6546044
1424,2161.941677
1425,3172.739696
1426,3537.712249
1427,3684.292393
1428,4605.128811
1429,3780.326864
1430,2934.443053
1431,1556.594313
1432,618.3012805
1433,45.30407112
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,18.5880618
1447,965.1475865
1448,3332.804845
1449,6380.092442
1450,10359.46166
1451,12012.09044
1452,11555.1243
1453,8597.798304
1454,3393.11791
1455,3229.104241
1456,1167.491916
1457,64.654128
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,11.96101368
1471,587.0363915
1472,1682.231138
1473,2545.525382
1474,2386.822589
1475,2332.189851
1476,1708.646968
1477,1882.058575
1478,2884.728647
1479,1653.206053
1480,285.655792
1481,8.68212576
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,79.27057908
1495,1566.569521
1496,4848.366877
1497,8286.881221
1498,10006.68103
1499,9989.432228
1500,7232.187667
1501,5252.131907
1502,4561.487275
1503,3522.957253
1504,1927.662826
1505,177.313946
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,23.69111976
1519,638.5056955
1520,2358.513317
1521,5650.840059
1522,9303.821382
1523,10046.32786
1524,8362.896003
1525,6992.574851
1526,4203.41886
1527,2189.396591
1528,902.36381
1529,62.85304872
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,12.39973812
1543,408.2446368
1544,1493.210177
1545,2703.189092
1546,3746.360356
1547,5680.165325
1548,10506.38816
1549,9048.55303
1550,5589.580273
1551,3031.170247
1552,1670.339397
1553,145.4025157
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,74.02897656
1567,1222.471016
1568,3992.046043
1569,8399.633402
1570,10333.06892
1571,9907.390758
1572,7562.570261
1573,5186.438694
1574,3121.178029
1575,1725.226133
1576,749.7107957
1577,105.6171362
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,48.3751422
1591,657.0937573
1592,2049.120224
1593,4562.895811
1594,8388.61911
